"country","year","connectivity_index","iso"
"Cocos (Keeling) Islands","2015",NA,"CCK"
"Cocos (Keeling) Islands","2016",NA,"CCK"
"Cocos (Keeling) Islands","2017",NA,"CCK"
"Cocos (Keeling) Islands","2018",NA,"CCK"
"Cocos (Keeling) Islands","2019",NA,"CCK"
"Cocos (Keeling) Islands","2020",NA,"CCK"
"Colombia","2006",24.2574843811,"COL"
"Colombia","2007",22.5876873985,"COL"
"Colombia","2008",25.7681060083,"COL"
"Colombia","2009",28.6301472406,"COL"
"Colombia","2010",49.4360244733,"COL"
"Colombia","2011",32.9168831096,"COL"
"Colombia","2012",32.3851154716,"COL"
"Colombia","2013",35.8795905015,"COL"
"Colombia","2014",33.3653670587,"COL"
"Colombia","2015",40.512222507,"COL"
"Colombia","2016",48.8449159214,"COL"
"Colombia","2017",47.8719318448,"COL"
"Colombia","2018",47.5914633438,"COL"
"Colombia","2019",45.4958757865,"COL"
"Colombia","2020",48.2573211601,"COL"
"Comoros","2006",4.0809305331,"COM"
"Comoros","2007",4.9876517103,"COM"
"Comoros","2008",1.5091303162,"COM"
"Comoros","2009",3.9888193395,"COM"
"Comoros","2010",6.1296519428,"COM"
"Comoros","2011",6.2185839189,"COM"
"Comoros","2012",6.172932813,"COM"
"Comoros","2013",6.0450239978,"COM"
"Comoros","2014",5.9857652924,"COM"
"Comoros","2015",6.2191639376,"COM"
"Comoros","2016",6.2295125122,"COM"
"Comoros","2017",5.0956655727,"COM"
"Comoros","2018",5.1722672073,"COM"
"Comoros","2019",5.9131598996,"COM"
"Comoros","2020",6.8821054723,"COM"
"Congo - Brazzaville","2006",11.5191600458,"COG"
"Congo - Brazzaville","2007",11.3391666776,"COG"
"Congo - Brazzaville","2008",13.3108148694,"COG"
"Congo - Brazzaville","2009",13.4319753444,"COG"
"Congo - Brazzaville","2010",24.3763204612,"COG"
"Congo - Brazzaville","2011",12.4971510976,"COG"
"Congo - Brazzaville","2012",14.3555498869,"COG"
"Congo - Brazzaville","2013",17.1862059486,"COG"
"Congo - Brazzaville","2014",19.2182002828,"COG"
"Congo - Brazzaville","2015",20.9515427313,"COG"
"Congo - Brazzaville","2016",26.5698658538,"COG"
"Congo - Brazzaville","2017",28.8390008768,"COG"
"Congo - Brazzaville","2018",24.7433324221,"COG"
"Congo - Brazzaville","2019",23.3406662962,"COG"
"Congo - Brazzaville","2020",29.7969437233,"COG"
"Congo - Kinshasa","2006",4.660835259,"COD"
"Congo - Kinshasa","2007",3.8594059395,"COD"
"Congo - Kinshasa","2008",3.8127263239,"COD"
"Congo - Kinshasa","2009",4.7975496022,"COD"
"Congo - Kinshasa","2010",4.7322979542,"COD"
"Congo - Kinshasa","2011",5.8011384949,"COD"
"Congo - Kinshasa","2012",5.7373890421,"COD"
"Congo - Kinshasa","2013",8.5227315997,"COD"
"Congo - Kinshasa","2014",8.5812070379,"COD"
"Congo - Kinshasa","2015",6.5089668241,"COD"
"Congo - Kinshasa","2016",5.9607800254,"COD"
"Congo - Kinshasa","2017",5.7485044472,"COD"
"Congo - Kinshasa","2018",3.5723171675,"COD"
"Congo - Kinshasa","2019",5.5048161104,"COD"
"Congo - Kinshasa","2020",5.1251319869,"COD"
"Cook Islands","2006",0.642897584,"COK"
"Cook Islands","2007",0.642897584,"COK"
"Cook Islands","2008",NA,"COK"
"Cook Islands","2009",0.7981365547,"COK"
"Cook Islands","2010",2.5214211176,"COK"
"Cook Islands","2011",1.5201275842,"COK"
"Cook Islands","2012",1.5201275842,"COK"
"Cook Islands","2013",2.5544345588,"COK"
"Cook Islands","2014",2.6347122192,"COK"
"Cook Islands","2015",2.6347122192,"COK"
"Cook Islands","2016",2.6347122192,"COK"
"Cook Islands","2017",2.2865233449,"COK"
"Cook Islands","2018",2.2865233449,"COK"
"Cook Islands","2019",2.2866822249,"COK"
"Cook Islands","2020",2.6191450317,"COK"
"Costa Rica","2006",15.9898747687,"CRI"
"Costa Rica","2007",18.2700833548,"CRI"
"Costa Rica","2008",16.6700507258,"CRI"
"Costa Rica","2009",19.2001856959,"CRI"
"Costa Rica","2010",24.5292816092,"CRI"
"Costa Rica","2011",21.596659708,"CRI"
"Costa Rica","2012",18.2616192511,"CRI"
"Costa Rica","2013",18.1976323183,"CRI"
"Costa Rica","2014",18.399024366,"CRI"
"Costa Rica","2015",17.7655201984,"CRI"
"Costa Rica","2016",17.7049556129,"CRI"
"Costa Rica","2017",16.8627142895,"CRI"
