"country","year","fossil_share_energy","region","iso","inv_dummy","bri_dummy","gdp","industry_share","pop_size","resource_rents","trade_share_gdp","urban_pop_share","covid_19"
"Netherlands",2016,94.964,"Europe & Central Asia","NLD",1,0,46007.8529206547,17.637508699955,16.6505054905194,0.248927595354416,148.858664731618,90.635,0
"Netherlands",2017,94.205,"Europe & Central Asia","NLD",1,0,48554.9922761756,17.7031373197172,16.656417524181,0.316354740665779,156.028211221086,91.077,0
"Netherlands",2018,93.573,"Europe & Central Asia","NLD",1,0,53018.6293562696,17.8057254191608,16.6622568582702,0.367118157390596,158.823210208957,91.49,0
"Netherlands",2019,92.467,"Europe & Central Asia","NLD",1,0,52476.2732533327,17.5622805345272,16.6688075740183,0.241737983404667,155.270676645491,91.876,0
"New Zealand",2005,66.908,"East Asia & Pacific","NZL",0,0,27751.0654708859,23.9417689045459,15.2347318292844,0.522711874750485,58.0187434407163,86.341,0
"New Zealand",2006,66.789,"East Asia & Pacific","NZL",0,0,26654.5932018985,22.9953954559196,15.2469216778873,0.593452612024,59.6032650403479,86.4,0
"New Zealand",2007,66.258,"East Asia & Pacific","NZL",0,0,32479.9817381467,22.9690421217852,15.2562457547624,0.799046830519124,58.4251605749091,86.34,0
"New Zealand",2008,67.154,"East Asia & Pacific","NZL",0,0,31252.9625640673,23.2426639071624,15.2647327687866,1.67240256739152,64.4087304520448,86.28,0
"New Zealand",2009,63.803,"East Asia & Pacific","NZL",0,0,28209.3623271229,21.40478726963,15.2747300490987,1.03212722265328,55.1457230053472,86.22,0
"New Zealand",2010,62.916,"East Asia & Pacific","NZL",0,0,33676.7741239925,21.1756548081557,15.2858473096589,1.10144772213831,58.2516155049129,86.16,0
"New Zealand",2011,62.187,"East Asia & Pacific","NZL",0,0,38387.6270784076,20.9947189297031,15.29347210761,1.25433632155219,59.2404647341861,86.1,0
"New Zealand",2012,64.857,"East Asia & Pacific","NZL",0,0,39973.3807587223,20.9233570433447,15.298954315583,1.00680968672155,57.0231138126526,86.161,0
"New Zealand",2013,64.849,"East Asia & Pacific","NZL",0,0,42976.6495882584,20.2875516016375,15.3066377955649,0.748842623154643,56.0171482819501,86.221,0
"New Zealand",2014,64.204,"East Asia & Pacific","NZL",0,0,44572.8987536626,21.377590967157,15.323247915572,0.737089610646069,55.1646268595212,86.281,0
"New Zealand",2015,63.779,"East Asia & Pacific","NZL",0,0,38630.7265886928,21.1416151014334,15.3436082546585,0.555543623131527,54.8210229497924,86.341,0
"New Zealand",2016,62.798,"East Asia & Pacific","NZL",0,0,40080.4941137172,20.0639594432286,15.3660685756601,0.35739771972231,52.3211088268453,86.4,0
"New Zealand",2017,64.446,"East Asia & Pacific","NZL",0,0,42992.8952738896,20.4134393539881,15.3869558028883,0.404363143925007,53.905048341024,86.466,0
"New Zealand",2018,63.316,"East Asia & Pacific","NZL",0,0,43306.0700032372,20.4198603942997,15.4048682045642,0.556349045062013,55.4934288816221,86.538,0
"North Macedonia",2005,87.57,"Europe & Central Asia","MKD",0,0,3072.67857251806,20.3620070871171,14.5269175095629,0.582032834847874,85.8410034787176,57.532,0
"North Macedonia",2006,86.556,"Europe & Central Asia","MKD",0,0,3362.96841919784,21.6625851152789,14.5285721242811,0.545623193888177,92.5516664675666,57.383,0
"North Macedonia",2007,91.788,"Europe & Central Asia","MKD",0,0,4079.3919539826,20.5809235456128,14.530203453603,0.710210302243492,106.092966003288,57.264,0
"North Macedonia",2008,92.934,"Europe & Central Asia","MKD",0,0,4841.25169443101,19.5331292631782,14.5318360343838,2.20350085385454,111.570054713298,57.175,0
"North Macedonia",2009,89.197,"Europe & Central Asia","MKD",0,0,4584.7098319119,18.9727028474128,14.5336776146312,0.6630881043482,87.1767537660809,57.117,0
"North Macedonia",2010,81.053,"Europe & Central Asia","MKD",0,0,4577.68875507362,21.0422688522191,14.5357883523826,1.16050907083085,97.8810691156562,57.089,0
"North Macedonia",2011,88.918,"Europe & Central Asia","MKD",0,0,5098.09758250193,21.5924220032487,14.537507065847,1.55420141784195,113.19191013947,57.092,0
"North Macedonia",2012,91.373,"Europe & Central Asia","MKD",0,0,4728.30814189843,21.0808587045723,14.5387232085045,0.654166362270635,112.214834702155,57.125,0
"North Macedonia",2013,86.306,"Europe & Central Asia","MKD",0,0,5241.05834548355,22.1404647622691,14.5401719093394,0,104.857229956305,57.189,0
"North Macedonia",2014,88.142,"Europe & Central Asia","MKD",0,0,5495.73504918897,22.822578658191,14.5418366791794,0,112.537928969299,57.284,0
"North Macedonia",2015,82.376,"Europe & Central Asia","MKD",0,0,4861.55397141497,23.9221832208017,14.5431683380259,0,113.698443879103,57.408,0
"North Macedonia",2016,82.809,"Europe & Central Asia","MKD",0,0,5149.58907435906,23.9630460915105,14.5442613408895,0,116.185408418026,57.563,0
"North Macedonia",2017,88.897,"Europe & Central Asia","MKD",0,0,5450.4928808666,24.2589458765972,14.5452316828423,0,124.13728389629,57.748,0
"North Macedonia",2018,83.176,"Europe & Central Asia","MKD",0,0,6108.74010831698,24.0504298826712,14.5460580457436,0,133.215207648008,57.963,0
"North Macedonia",2019,89.289,"Europe & Central Asia","MKD",0,0,6070.38805358275,23.7034834116039,14.5462877641277,0,138.576231840539,58.208,0
"Norway",2005,31.606,"Europe & Central Asia","NOR",0,0,66810.478520868,37.9666801843429,15.3466173471282,10.5090332244536,70.8135781791539,77.675,0
"Norway",2006,34.637,"Europe & Central Asia","NOR",0,0,74148.3200757187,39.6638206538144,15.3546712745198,11.3120357499408,72.3558498175126,77.95,0
"Norway",2007,32.053,"Europe & Central Asia","NOR",0,0,85139.9604469545,37.1778162713979,15.3650186196726,9.90164238514933,73.1842294163025,78.234,0
"Norway",2008,31.27,"Europe & Central Asia","NOR",1,0,96944.0956064873,40.2948114564514,15.3774819498261,12.2377409020081,74.8893594007111,78.526,0
"Norway",2009,33.344,"Europe & Central Asia","NOR",1,0,79977.6970817492,34.3017301761883,15.3900932227199,8.70306240294031,67.054796805081,78.815,0
"Norway",2010,35.978,"Europe & Central Asia","NOR",1,0,87693.7900658099,34.7682539584538,15.4025498845155,8.79248812700904,68.2495594214732,79.102,0
"Norway",2011,34.952,"Europe & Central Asia","NOR",1,0,100600.562407589,37.0265440080382,15.4155217784224,10.8739564148887,69.6733929343216,79.455,0
"Norway",2012,31.238,"Europe & Central Asia","NOR",1,0,101524.141851985,36.8413452795885,15.4286561883093,10.2573862793841,68.2174036699074,79.874,0
"Norway",2013,33.664,"Europe & Central Asia","NOR",1,0,102913.450843674,35.6394714289808,15.4407476042023,8.75708735060068,67.5466198492849,80.286,0
"Norway",2014,32.14,"Europe & Central Asia","NOR",1,0,97019.1827527462,34.0317191657959,15.4520249709758,7.83140490265054,68.6632828305019,80.692,0
"Norway",2015,32.328,"Europe & Central Asia","NOR",1,0,74355.5158575643,31.0103793816342,15.4619758183454,5.27835452183003,69.8591654324035,81.091,0
"Norway",2016,30.778,"Europe & Central Asia","NOR",1,0,70460.5605323322,27.9415637987598,15.470785516499,4.07235350170123,68.9403153109535,81.485,0
"Norway",2017,30.933,"Europe & Central Asia","NOR",1,0,75496.7540581998,29.7912654739268,15.4788622483179,5.85292206091505,69.1644246402997,81.871,0
"Norway",2018,31.878,"Europe & Central Asia","NOR",1,0,82267.809316159,31.7927628802161,15.4854631567604,8.05164036120926,70.2096288584372,82.248,0
"Norway",2019,32.93,"Europe & Central Asia","NOR",1,0,75719.7528965342,28.9738637805025,15.4922137704928,6.92473942392509,71.0444048577179,82.616,0
"Oman",2005,100,"Middle East & North Africa","OMN",0,0,12377.0800076389,63.5355753311151,14.7362927879423,46.775307796808,99.1109943047734,72.4,0
"Oman",2006,100,"Middle East & North Africa","OMN",0,0,14420.5120419948,63.7012602139284,14.7635917747799,45.2259228730519,98.5550230790213,72.967,0
"Oman",2007,100,"Middle East & North Africa","OMN",0,0,15838.4695603189,61.118839945182,14.7927691939032,41.679680012876,108.871785465232,73.527,0
"Oman",2008,100,"Middle East & North Africa","OMN",0,0,22139.74070678,66.935282431511,14.8274590455949,40.721541413662,108.606938213492,74.08,0
